sigla_sistema;descricao_sistema
AGATHA;Sistema de Gestão de Risco
Agenda Regulatória;Agenda Regulatória
ARRECADAÇÃO;Sistema de Controle de Arrecadação de Multas
Avaliação de Desempenho;Sistemas de avaliação dos servidores
CONTRATOS;Sistema de Gerenciamento de Contratos
ECARTA;Sistema de envio e recebimento de correspondências ANTT/CORREIOS 
E-FISCAL;Aplicativo mobile para fiscais
Formulário LOP;Formulário para Licença Operacional do transporte rodoviário de passageiros
FREQUÊNCIA;Sistema de controle de ponto eletrônico para servidores da ANTT
GERAPLIC;Sistema de Gerência de perfis de Aplicativos
MONITRIIP;Monitoramento do transporte rodoviário interestadual e internacional de passageiros
NewsLetter;NewsLetter
OUVIDORIA;Registro de manifestações por parte do UTT ou servidores da ANTT
PARTICIPANTT;Sistema de participação pública da ANTT
PEF;Pagamento Eletrônico de Frete
PORTAL ANTT;Portal Institucional da ANTT
PORTAL INTRANET;PORTAL INTRANET
PROVA ELETRÔNICA;Controle e gestão das provas para TAC e RT
RNTRC;Registro Nacional de Transportadores Rodoviários de Carga
SAFF;Sistema de Acompanhamento e Fiscalização do Transporte Ferroviário
SAFIRA;Sistema de Gestão Estratégica e Anual
SCA;Sistema de Controle de Acesso
SCF;Sistema de Controle de Frota
SEI;Sistema Eletrônico de Informações
SGM;Sistema de Gestão de Multas 
SGP;Sistema de Gerenciamento de Permissões
SGRH;Sistema de Gestão de Recursos Humanos
SGSU (SEMIURBANO);Sistema de Gerenciamento de Semiurbano
SICAD;Sistema de Controle e Acompanhamento de Demandas
SICONPAR;Sistema de Controle de Parlamentar
SIFAMA-FISN;Sistema Integrado de Fiscalização, Autuação, Multa e Arrecadação
SIFAMA-SAR;Sistema de Arrecadação
SIFAMA-SPM;Sistema de Processamento de Multas
SIFAMA-SPMI;Sistema de Processamento de Multas - Infrator
SIGEPRO;Sistema de Gestão de Projetos de Rodovias
SIGICOR;Sistema de Gestão de Investimento das concessões rodoviárias
SIR;Sistema de Infraestrutura Rodoviária
SIREF;Sistema de Informação para Regulação Econômica e Fiscalização da Ferrovia
SIREF-RODOVIAS;Sistema de Informação para Regulação Econômica e Fiscalização da Rodovias
SISAUT;Sistema de Autorização de Viagem
SISAUT FC;Sistema de Autorização de Viagem - Fretamento Contínuo
SISCONTEL;Sistema de Controle das Contas Telefônicas
SISFIS;Sistema de Fiscalização
SISHAB;Sistema de Habilitação do Transporte de Passageiros
SISMULTAS;Sistema de Multas
SPP;Sistema de Progressão e Promoção - WEB
SRC;Sistema de Seguro de Responsabilidade Civil
TAXAFIS;Sistema de Taxa de Fiscalização
VALE PEDÁGIO;Integração entre Fornecedoras do Vale-Pedágio e ANTT
